,# PDB,function,Heme,multiheme,ligand,axial1,axial2,pocket_volume,saddling,ruffling,doming,breathing,rotation,wavx,wavy,pro,nstr,mstr,transx,transy
66,1a6n,oxygen carrier,HEM_A_154,0,HIS,HIS,,500.0,0.13,-0.027,-0.268,-0.234,-0.003,0.113,0.043,-0.072,-0.047,-0.035,0.012,-0.012
73,1aa4,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,442.0,-0.412,0.377,-0.051,-0.131,0.015,-0.07,0.191,0.013,0.021,0.07,0.003,0.023
74,1abs,oxygen carrier,HEM_A_154,0,HIS,HIS,,482.0,0.048,-0.121,-0.273,0.203,-0.01,0.181,0.073,-0.043,0.004,0.011,0.004,0.009
83,1ac4,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,464.0,-0.467,0.349,0.013,-0.068,0.025,0.038,0.086,-0.042,0.022,0.08,-0.031,-0.075
84,1ac8,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,448.0,-0.465,0.381,-0.004,-0.11,0.016,-0.078,0.201,0.013,0.007,0.03,-0.013,0.031
85,1aeb,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027
86,1aed,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027
87,1aee,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,452.0,-0.534,0.39,0.029,-0.139,0.024,-0.032,0.105,0.012,-0.002,0.077,-0.001,-0.044
88,1aef,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027
89,1aeg,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027
90,1aeh,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027
91,1aej,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027
92,1aek,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027
93,1aem,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027
94,1aen,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,464.0,-0.467,0.349,0.013,-0.068,0.025,0.038,0.086,-0.042,0.022,0.08,-0.031,-0.075
95,1aeo,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,464.0,-0.467,0.349,0.013,-0.068,0.025,0.038,0.086,-0.042,0.022,0.08,-0.031,-0.075
96,1aeq,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027
97,1aes,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,449.0,-0.547,0.218,0.105,-0.098,-0.024,-0.091,0.165,0.041,0.054,0.069,-0.009,-0.041
98,1aet,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,469.0,-0.472,0.384,0.034,-0.101,-0.01,0.075,0.131,-0.001,0.027,-0.071,-0.003,-0.004
99,1aeu,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,464.0,-0.467,0.349,0.013,-0.068,0.025,0.038,0.086,-0.042,0.022,0.08,-0.031,-0.075
100,1aev,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,474.0,-0.489,0.244,0.029,-0.118,-0.003,-0.082,0.077,-0.01,0.074,-0.047,-0.006,0.03
103,1ajg,oxygen carrier,HEM_A_154,0,HIS-CMO,HIS,CMO,494.0,0.011,-0.102,-0.156,-0.062,-0.006,0.161,0.112,-0.084,-0.002,-0.017,-0.029,0.037
104,1ajh,oxygen carrier,HEM_A_154,0,HIS-CMO,HIS,CMO,487.0,0.02,-0.158,-0.238,-0.1,0.01,0.205,0.122,-0.05,0.031,0.042,-0.036,0.052
105,1akd,oxidoreductase,HEM_A_417,0,CYS,CYS,,496.0,0.265,-0.464,-0.158,-0.276,0.008,0.08,-0.104,-0.027,0.185,0.078,-0.052,-0.007
108,1aom,electron transporter,HEM_B_601,0,HIS-HIS,HIS,HIS,422.0,0.178,-0.664,0.146,0.009,-0.003,0.053,-0.167,0.002,-0.097,-0.049,-0.017,0.049
121,1arp,oxidoreductase,HEM_A_345,0,HIS-HOH,HIS,HOH,453.0,-0.903,0.66,0.212,0.067,-0.011,-0.15,0.021,0.057,-0.013,0.03,0.003,-0.015
122,1aru,oxidoreductase,HEM_A_345,0,HIS-CYN,HIS,CYN,448.0,-0.952,0.696,0.217,0.059,0.001,-0.097,-0.005,0.074,0.076,0.023,-0.01,0.048
123,1arv,oxidoreductase,HEM_A_345,0,HIS-CYN,HIS,CYN,457.0,-0.969,0.724,0.236,0.108,0.001,-0.048,0.053,0.091,0.077,0.023,-0.016,0.027
124,1arw,oxidoreductase,HEM_A_345,0,HIS-CYN,HIS,CYN,448.0,-1.003,0.724,0.301,0.106,0.003,-0.035,0.123,0.072,0.078,0.035,-0.043,0.017
125,1arx,oxidoreductase,HEM_A_345,0,HIS,HIS,,470.0,-0.914,0.434,0.326,0.139,0.017,-0.189,0.073,0.04,0.029,0.038,0.024,0.024
126,1ary,oxidoreductase,HEM_A_345,0,HIS,HIS,,468.0,-0.773,0.354,0.321,0.074,0.005,-0.074,0.067,0.069,0.035,0.005,-0.074,-0.02
127,1ash,oxygen carrier,HEM_A_301,0,HIS-OXY,HIS,OXY,540.0,-0.114,-0.405,-0.068,-0.029,-0.019,0.066,0.124,0.012,0.106,-0.113,-0.035,0.052
136,1azi,oxygen carrier,HEM_A_154,0,HIS-AZI,HIS,AZI,547.0,0.053,-0.269,0.043,-0.05,0.006,0.237,-0.067,-0.06,-0.005,0.036,-0.002,0.079
137,1b0b,oxygen carrier,HEM_A_144,0,HIS-CYN,HIS,CYN,504.0,-0.518,-0.295,-0.085,-0.159,0.025,0.295,-0.017,0.016,0.003,-0.062,0.038,0.101
138,1b2v,oxidoreductase,HEM_A_200,0,HIS-TYR,HIS,TYR,503.0,0.014,0.306,0.144,-0.119,-0.011,0.053,-0.017,-0.002,-0.02,0.042,0.03,0.017
139,1b5m,oxidoreductase,HEM_A_201,0,HIS-HIS,HIS,HIS,486.0,0.757,-0.003,0.041,-0.054,-0.053,0.035,-0.188,-0.009,-0.037,-0.064,-0.011,-0.021
140,1b7v,electron transporter,HEC_A_93,0,HIS-MET,HIS,MET,439.0,0.025,-0.421,-0.161,-0.101,-0.018,0.096,0.007,-0.012,-0.058,-0.071,0.008,0.019
170,1bej,oxidoreductase,HEM_A_296,0,HIS-HOH,HIS,HOH,443.0,-0.629,0.415,-0.066,0.245,0.039,-0.073,-0.063,-0.107,0.033,0.171,0.0,0.085
171,1bek,oxidoreductase,HEM_A_296,0,HIS-HOH,HIS,HOH,462.0,-0.595,0.151,0.109,0.11,0.007,0.021,0.157,0.046,0.362,-0.008,0.01,0.005
172,1bem,oxidoreductase,HEM_A_296,0,HIS-HOH,HIS,HOH,445.0,-0.587,0.442,-0.078,0.168,0.03,-0.043,0.005,-0.051,0.387,-0.107,0.06,0.102
173,1beq,oxidoreductase,HEM_A_296,0,HIS-HOH,HIS,HOH,453.0,-0.522,0.37,0.176,0.349,0.028,-0.309,-0.042,-0.27,0.139,0.124,0.059,0.047
174,1bes,oxidoreductase,HEM_A_296,0,HIS-CL,HIS,CL,471.0,-0.526,0.431,0.042,0.382,0.083,-0.171,0.088,-0.142,0.383,0.076,0.001,-0.024
187,1bgp,oxidoreductase,HEM_A_400,0,HIS,HIS,,417.0,-1.147,0.266,0.164,0.072,-0.006,-0.139,0.023,0.023,-0.016,-0.072,-0.015,0.023
200,1bje,oxygen carrier,HEM_A_154,0,HIS-AZI,HIS,AZI,573.0,0.097,-0.346,-0.141,-0.081,-0.028,0.155,0.009,-0.009,-0.023,-0.075,0.007,0.005
209,1bva,oxidoreductase,HEM_A_390,0,HIS-HOH,HIS,HOH,393.0,-0.37,0.263,0.081,-0.066,-0.006,-0.099,0.151,-0.116,0.052,-0.015,-0.03,-0.03
224,1bz6,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,507.0,0.038,-0.018,-0.199,-0.163,-0.001,0.192,0.048,-0.05,0.005,0.015,-0.006,0.014
225,1bzp,oxygen carrier,HEM_A_154,0,HIS,HIS,,541.0,0.049,0.038,-0.308,-0.239,-0.01,0.147,-0.017,-0.038,-0.042,0.003,0.013,-0.001
226,1bzr,oxygen carrier,HEM_A_154,0,HIS-CMO,HIS,CMO,556.0,0.096,0.008,-0.165,-0.096,-0.004,0.186,-0.005,-0.043,0.021,0.043,0.004,0.001
235,1c52,electron transporter,HEM_A_200,0,HIS-MET,HIS,MET,371.0,0.052,-0.853,-0.026,0.009,0.026,0.136,-0.061,-0.012,0.005,-0.013,-0.042,0.004
236,1c53,unclassified,HEM_A_80,0,,,,888.0,0.465,-0.596,0.081,-0.089,0.035,0.117,-0.093,0.022,0.152,-0.096,-0.073,0.009
239,1c6r,electron transporter,HEM_A_90,0,HIS-MET,HIS,MET,390.0,0.364,-0.515,-0.048,-0.068,-0.023,-0.008,-0.277,0.092,-0.009,-0.105,-0.031,-0.014
240,1c75,electron transporter,HEC_A_93,0,HIS-MET,HIS,MET,440.0,-0.01,-0.356,-0.096,-0.036,0.004,0.07,0.043,0.006,-0.047,0.012,-0.048,0.001
253,1c8i,oxidoreductase,HEM_A_345,0,HIS-HOA,HIS,HOA,453.0,-0.9,0.551,0.225,0.004,0.001,0.014,0.063,0.067,-0.006,0.016,-0.049,0.005
264,1cc5,electron transporter,HEM_A_1,0,HIS-MET,HIS,MET,342.0,-0.073,0.595,0.13,0.081,0.061,-0.167,0.138,0.009,-0.132,-0.136,-0.025,-0.002
265,1cca,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,450.0,-0.538,0.231,0.169,-0.111,0.008,-0.098,0.152,0.01,0.067,-0.047,-0.033,-0.027
266,1ccb,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,429.0,-0.703,0.315,-0.008,-0.071,-0.007,-0.067,0.128,0.035,0.062,-0.143,-0.013,-0.003
267,1ccc,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,447.0,-0.662,0.394,0.05,-0.07,0.018,-0.088,0.129,0.003,0.059,-0.145,-0.025,-0.035
268,1cce,oxidoreductase,HEM_A_1,0,HOH-HOH,HOH,HOH,544.0,-0.533,0.329,-0.101,-0.082,0.003,-0.141,0.053,-0.036,0.079,-0.047,0.013,-0.031
269,1ccg,oxidoreductase,HEM_A_1,0,HOH-IMD,HOH,IMD,519.0,-0.61,0.192,0.139,-0.031,-0.0,-0.096,0.051,0.003,0.08,-0.083,-0.013,-0.001
270,1cci,oxidoreductase,HEM_A_500,0,HIS-HOH,HIS,HOH,475.0,-0.309,0.18,-0.009,-0.164,0.012,-0.132,-0.029,0.036,0.006,-0.002,-0.028,-0.01
271,1ccj,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,443.0,-0.494,0.137,0.039,-0.132,0.008,-0.052,0.162,0.004,0.026,0.024,-0.037,-0.009
272,1cck,oxidoreductase,HEM_A_1,0,HIS-HOH,HIS,HOH,455.0,-0.543,0.169,0.153,-0.063,0.001,-0.089,0.127,-0.018,0.088,-0.02,-0.028,-0.026
273,1ccl,oxidoreductase,HEM_A_1,0,HIS-HOH,HIS,HOH,461.0,-0.519,0.398,0.051,-0.14,0.001,-0.045,0.038,0.032,0.023,-0.038,-0.009,0.002
274,1ccp,oxidoreductase,HEM_A_296,0,HIS-HOH,HIS,HOH,424.0,-0.693,0.238,0.066,0.039,-0.02,-0.051,0.15,0.008,0.076,-0.028,-0.004,0.023
275,1ccr,electron transporter,HEC_A_112,0,HIS-MET,HIS,MET,318.0,-0.117,-0.748,0.008,-0.046,-0.014,0.124,-0.178,-0.003,0.054,-0.034,-0.072,0.001
287,1cgn,electron transporter,HEC_A_128,0,HIS,HIS,,402.0,-0.268,-0.259,0.236,0.025,0.002,0.15,-0.01,0.012,0.067,0.048,0.005,0.011
288,1cgo,electron transporter,HEC_A_128,0,HIS,HIS,,414.0,-0.272,-0.337,0.197,0.058,-0.03,0.189,-0.067,0.034,0.034,0.055,0.016,-0.024
289,1ch1,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,558.0,0.082,-0.003,-0.217,0.003,-0.003,0.12,0.017,-0.036,0.015,0.007,-0.017,0.015
290,1ch2,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,528.0,0.029,0.002,-0.242,-0.033,0.008,0.16,0.043,-0.032,-0.013,0.028,-0.016,-0.011
291,1ch3,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,529.0,0.023,0.005,-0.269,-0.118,-0.009,0.242,0.057,-0.051,0.007,-0.002,-0.01,-0.004
296,1ch5,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,604.0,0.189,0.015,-0.239,-0.174,-0.002,0.237,-0.048,-0.033,0.038,0.009,-0.0,0.006
297,1ch7,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,521.0,0.07,0.017,-0.256,0.112,0.001,0.277,-0.008,-0.042,0.021,0.003,-0.002,-0.009
298,1ch9,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,562.0,0.076,-0.025,-0.173,0.024,0.001,0.146,-0.02,0.016,0.007,0.028,-0.009,0.011
299,1chh,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,316.0,-0.052,-0.859,-0.053,-0.07,0.024,0.112,-0.215,0.005,-0.004,0.1,-0.108,-0.04
300,1chi,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,333.0,-0.062,-0.799,-0.042,-0.061,-0.013,0.3,-0.227,-0.012,-0.03,0.06,-0.112,0.001
301,1chj,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,327.0,-0.003,-0.772,-0.063,-0.108,0.006,0.181,-0.201,0.044,0.089,0.104,-0.014,0.03
302,1ci3,electron transporter,HEC_M_254,0,HIS-TYR,HIS,TYR,314.0,-0.651,-0.667,-0.12,-0.004,0.016,-0.024,-0.006,0.057,0.045,0.003,-0.046,-0.039
303,1cie,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,303.0,-0.087,-0.69,-0.042,-0.064,0.013,0.269,-0.223,-0.008,0.006,0.156,-0.023,-0.001
304,1cif,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,335.0,-0.36,-1.095,-0.083,-0.028,-0.025,0.256,-0.097,0.031,0.017,0.014,-0.067,0.084
305,1cig,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,318.0,-0.19,-0.986,-0.046,-0.048,0.023,0.191,-0.085,-0.002,0.041,0.09,-0.035,0.05
306,1cih,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,322.0,-0.109,-0.66,0.012,-0.131,0.022,0.142,-0.223,0.031,-0.035,0.004,-0.045,-0.003
307,1cik,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,543.0,-0.174,0.089,-0.179,-0.152,-0.001,0.149,0.15,-0.001,-0.008,-0.002,-0.002,-0.012
308,1cio,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,543.0,-0.006,0.048,-0.197,-0.107,0.001,0.223,0.087,-0.014,0.022,0.001,-0.007,0.001
309,1ck6,oxidoreductase,HEM_A_345,0,HIS-HOH,HIS,HOH,447.0,-0.797,0.54,0.289,-0.019,0.004,-0.062,0.137,0.033,0.036,0.039,-0.039,0.026
310,1cl6,oxidoreductase,HEM_A_501,0,CYS-NO,CYS,NO,418.0,-0.028,-0.165,-0.064,-0.171,-0.001,-0.051,-0.056,-0.013,-0.026,-0.051,-0.012,0.005
315,1cmj,oxidoreductase,HEM_A_501,0,CYS-NO,CYS,NO,422.0,-0.086,-0.206,-0.04,-0.14,-0.011,-0.112,-0.124,0.017,0.07,-0.056,-0.029,0.011
316,1cmn,oxidoreductase,HEM_A_501,0,CYS-NO,CYS,NO,424.0,-0.091,-0.14,-0.048,-0.199,-0.004,-0.083,-0.102,-0.04,-0.01,-0.029,-0.034,-0.004
317,1cmp,oxidoreductase,HEM_A_296,0,HIS-HOH,HIS,HOH,465.0,-0.492,0.398,-0.02,-0.143,0.03,-0.01,0.124,-0.011,0.019,-0.041,-0.016,-0.021
318,1cmq,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,473.0,-0.469,0.378,0.073,-0.075,0.018,0.054,0.014,-0.03,0.034,0.159,-0.042,-0.049
319,1cmt,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,436.0,-0.49,0.411,-0.011,-0.127,0.017,-0.024,0.138,-0.004,0.012,0.002,-0.015,-0.032
320,1cmu,oxidoreductase,HEM_A_295,0,HIS-HOH,HIS,HOH,470.0,-0.663,0.314,0.025,-0.111,-0.003,-0.121,0.004,0.02,0.076,0.029,-0.008,-0.012
333,1co6,electron transporter,HEC_A_108,0,HIS-MET,HIS,MET,327.0,-0.287,-0.452,0.106,-0.116,0.006,0.171,-0.14,0.027,-0.028,-0.053,-0.039,0.031
334,1co8,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,530.0,-0.008,-0.034,-0.197,-0.002,0.0,0.207,0.012,-0.009,0.005,0.008,-0.012,0.007
335,1co9,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,533.0,0.044,-0.043,-0.171,-0.074,0.003,0.244,0.011,-0.03,0.025,0.008,-0.022,0.002
338,1cot,electron transporter,HEC_A_130,0,HIS-MET,HIS,MET,330.0,-0.011,-0.107,-0.117,0.137,-0.002,0.025,-0.045,0.005,-0.051,0.009,-0.034,-0.036
339,1cp0,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,553.0,0.04,-0.048,-0.172,0.056,-0.002,0.228,-0.011,-0.012,0.015,0.012,-0.012,0.009
340,1cp4,oxidoreductase,HEM_A_415,0,CYS-BNZ,CYS,BNZ,437.0,0.216,-0.304,0.171,-0.154,-0.03,-0.066,-0.129,-0.09,0.01,0.028,-0.035,0.026
341,1cp5,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,538.0,0.008,0.01,-0.157,-0.053,-0.004,0.161,0.01,-0.049,0.017,0.024,-0.004,0.015
342,1cpd,oxidoreductase,HEM_A_296,0,HIS-HOH,HIS,HOH,470.0,-0.601,0.427,-0.095,-0.033,-0.01,0.031,0.007,0.218,0.207,-0.143,0.07,-0.004
343,1cpe,oxidoreductase,HEM_A_296,0,HIS-HOH,HIS,HOH,452.0,-0.579,0.484,-0.028,0.186,0.007,-0.094,0.146,-0.062,0.093,0.127,0.007,0.027
344,1cpf,oxidoreductase,HEM_A_296,0,HIS-HOH,HIS,HOH,467.0,-0.615,0.472,0.066,0.088,0.014,-0.037,0.119,0.146,0.073,-0.172,-0.026,-0.047
345,1cpg,oxidoreductase,HEM_A_296,0,HIS-HOH,HIS,HOH,447.0,-0.605,0.402,-0.055,0.35,0.043,-0.121,0.116,-0.114,0.153,0.241,-0.005,0.081
346,1cpo,oxidoreductase,HEM_A_396,0,CYS,CYS,,398.0,-0.063,0.215,-0.455,-0.211,0.009,0.047,0.231,0.054,0.089,-0.066,0.011,0.026
347,1cpq,electron transporter,HEM_A_130,0,HIS,HIS,,430.0,-0.157,-0.027,0.161,-0.077,-0.007,-0.054,-0.062,-0.001,0.019,-0.1,-0.061,0.006
348,1cpr,electron transporter,HEM_A_136,0,HIS,HIS,,447.0,-0.44,-0.057,0.285,-0.018,-0.016,0.035,-0.13,0.084,0.042,-0.002,-0.024,0.08
349,1cpt,oxidoreductase,HEM_A_430,0,CYS-HOH,CYS,HOH,405.0,-0.183,-0.303,-0.034,0.043,-0.004,0.022,-0.091,-0.036,-0.03,-0.026,-0.022,-0.006
350,1cpw,oxygen carrier,HEM_A_154,0,HIS-HOH,HIS,HOH,536.0,-0.234,0.003,-0.079,0.047,-0.004,0.069,-0.033,-0.091,0.012,0.013,-0.004,0.01
351,1cq2,oxygen carrier,HEM_A_154,0,HIS-DOD,HIS,DOD,540.0,0.195,-0.173,-0.346,-0.137,0.004,0.21,0.029,-0.062,0.04,0.005,-0.024,0.042
356,1crg,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,328.0,-0.294,-0.896,-0.077,0.001,0.024,0.141,-0.138,0.037,-0.035,0.068,-0.061,0.007
357,1crh,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,308.0,-0.196,-1.021,0.028,-0.019,-0.034,0.134,-0.335,0.001,0.055,0.044,-0.099,0.096
358,1cri,electron transporter,HEM_A_104,0,HIS-MET,HIS,MET,320.0,-0.145,-0.775,-0.071,0.008,-0.014,0.305,-0.24,0.126,-0.036,0.009,-0.02,0.028
359,1crj,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,322.0,-0.159,-0.688,-0.065,-0.16,0.035,0.217,-0.156,-0.003,-0.016,0.111,-0.043,0.04
360,1cry,electron transporter,HEC_A_108,0,HIS-MET,HIS,MET,324.0,-0.133,-0.608,0.034,-0.072,0.002,0.093,-0.361,0.03,0.01,0.001,-0.015,0.019
361,1csu,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,328.0,-0.228,-0.833,-0.09,-0.09,-0.025,0.218,-0.073,-0.003,-0.021,0.018,-0.06,-0.004
362,1csv,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,332.0,-0.009,-0.762,-0.148,-0.048,-0.029,0.342,-0.148,0.013,0.05,0.039,-0.039,0.082
363,1csw,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,321.0,-0.295,-0.863,-0.101,-0.051,-0.0,0.209,-0.044,-0.007,0.05,0.019,-0.062,0.052
364,1csx,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,327.0,-0.139,-0.845,0.009,-0.068,0.012,0.269,-0.285,0.028,0.026,0.046,-0.018,-0.007
365,1ctj,electron transporter,HEM_A_91,0,HIS-MET,HIS,MET,388.0,0.499,-0.56,-0.019,-0.042,0.023,0.085,-0.206,0.039,-0.047,0.002,-0.026,-0.016
366,1ctm,electron transporter,HEC_A_253,0,HIS-TYR,HIS,TYR,328.0,-0.464,-0.721,-0.021,0.058,-0.002,0.006,-0.096,0.039,-0.008,0.077,-0.059,0.01
367,1cty,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,347.0,-0.041,-0.702,-0.01,-0.073,-0.017,0.444,-0.245,0.018,-0.047,-0.1,-0.127,0.048
368,1ctz,electron transporter,HEC_A_104,0,HIS-MET,HIS,MET,354.0,-0.103,-0.945,-0.033,0.002,0.062,0.301,-0.202,0.022,0.001,0.095,-0.021,0.072
373,1cxa,electron transporter,HEC_A_126,0,HIS-IMD,HIS,IMD,413.0,-0.035,-0.217,0.05,0.007,0.033,-0.074,-0.072,-0.005,-0.02,0.06,0.037,-0.026
374,1cxc,electron transporter,HEC_A_125,0,HIS-MET,HIS,MET,365.0,-0.123,-0.367,-0.059,-0.046,0.017,0.079,-0.124,0.075,-0.025,-0.011,-0.025,-0.003
377,1cxy,oxidoreductase,HEM_A_204,0,HIS-HIS,HIS,HIS,399.0,0.514,0.083,-0.012,-0.084,-0.006,-0.173,-0.019,0.04,-0.005,-0.029,-0.007,0.0
