PDB_ID,PDB_Iron_Plane_Distance,XYZ_Iron_Plane_Distance,Plane_Distance_Difference,Axial_Combination
4rm4,0.15422821,0.11383955342355456,0.04038865702566419,CYS-HOH
3p6q,0.04572296,0.03944025934408302,0.006282702081698233,CYS-HOH
1dy7,0.034614563,0.02867037221847113,0.00594419076981012,HIS-MET
3m8m,0.21524811,0.16533729216754978,0.049910815742606474,HIS-HOH
5gnl,0.026373923,0.025345884260538742,0.0010280385643208767,CYS-HOH
3l61,0.07142258,0.06340906163944382,0.008013515264853055,CYS-HOH
4fia,0.19254875,0.13522774886039812,0.057321002970656565,CYS-HOH
1cpw,0.1041584,0.08220359399311405,0.021954807496143758,HIS-HOH
4uax,0.16569519,0.13222180307618814,0.03347338735349936,CYS-HOH
2rbt,0.035650253,0.03408556610403313,0.0015646871918653105,HIS-HOH
5ibj,0.14137077,0.10210843478895626,0.03926233852647343,CYS-HOH
4nvd,0.09487915,0.07586676321943742,0.019012387171187584,HIS-HOH
1cie,0.016767502,0.023315346106585366,0.006547844275530679,HIS-MET
4bm3,0.24588442,0.18093507997876834,0.06494933850878049,HIS-HOH
4faa,0.2395382,0.12890402447957783,0.11063416826944561,HIS-HIS
3s8f,0.03232956,0.00963234990818762,0.022697209417984254,HIS-HIS
6r1q,0.029130936,0.02912986810859941,1.0675603459020522e-06,HIS-HIS
1arp,0.07001495,0.05744544582074873,0.01256950779253252,HIS-HOH
6mjm,0.12696075,0.0883206612751728,0.038640093119358454,CYS-HOH
1m59,0.0077462196,0.006839449342557202,0.0009067702924525634,HIS-HIS
2w6w,0.09885597,0.06893200153437817,0.02992397075566089,HIS-HOH
6tet,0.08234215,0.06479981091662523,0.017542336910523204,CYS-HOH
1cyf,0.08383179,0.05546090905925638,0.02837087805011862,HIS-HOH
4nvf,0.09454346,0.0773769369980073,0.017166520033242705,HIS-HOH
2spm,0.09404564,0.0731694732406325,0.02087616579745344,HIS-HOH
4ktl,0.054719925,0.045926934306717015,0.008792990620040797,CYS-HOH
3m2a,0.03847885,0.03806025600697893,0.00041859531138044304,HIS-HOH
3wec,0.19392824,0.11816030458724125,0.07576793714249508,CYS-HOH
1dt1,0.060354233,0.02897053592245058,0.03138369686563536,HIS-MET
2j18,0.21913195,0.1595247832164064,0.05960716334731431,CYS-HOH
6x8x,0.03406334,0.016539102610643397,0.01752423662275504,HIS-MET
1bem,0.11831856,0.10097920327179111,0.017339354467466706,HIS-HOH
6cpp,0.3805344,0.27915973356791746,0.10137467690876711,CYS-HOH
3vp5,0.017505646,0.007924393758827364,0.009581251993125761,HIS-HIS
3m23,0.072761536,0.0727642541192779,2.718474746643551e-06,HIS-HOH
2q9f,0.15319824,0.12455163548776405,0.028646606699735955,CYS-HOH
1y5l,0.0023040771,0.0023061819246095183,2.104776172018319e-06,HIS-HIS
1xch,0.06750083,0.05871968483119616,0.008781144865459112,HIS-HOH
3exb,0.14019012,0.10791764206067,0.032272482451048745,HIS-HOH
1wla,0.08762884,0.07471181232358326,0.012917029076563225,HIS-HOH
4nxc,0.21842194,0.1639329008448378,0.05448903519031845,HIS-HOH
4kvk,0.004459858,0.0044614360436758815,1.5781030020534104e-06,HIS-HIS
4cpp,0.48112988,0.3684929044111733,0.1126369803086753,CYS-HOH
5m0n,0.06298542,0.05625721925387239,0.006728200973178389,CYS-HOH
5lft,0.018173218,0.018654024208233366,0.00048080643479586627,HIS-MET
6m4s,0.03584671,0.02914353138848469,0.006703178816593436,CYS-HOH
5lth,0.04132843,0.03528379012479377,0.006044640050987482,HIS-HOH
1aej,0.0019111633,0.010561485529080983,0.008650322199002858,HIS-HOH
3vno,0.06658554,0.05174582089007007,0.014839719881414304,CYS-HOH
2hz2,0.060718417,0.03981051235501276,0.020907904812650813,HIS-HIS
6qq1,0.032428503,0.03242785261167214,6.504248268868196e-07,HIS-MET
4xv8,0.043510437,0.03902667130323323,0.004483765708485521,HIS-HOH
3abb,0.17611694,0.13106730036466985,0.04504964299470515,CYS-HOH
3e2o,0.17728043,0.14107836830770282,0.03620205771768781,HIS-HOH
351c,0.03221798,0.014046083033623091,0.018171896397529252,HIS-MET
2rbu,0.1259551,0.09738148482982822,0.028573619998052635,HIS-HOH
5kke,0.031837463,0.10063282091937253,0.06879535754046628,HIS-HOH
1u9u,0.014818668,0.000728785763360662,0.014089882602117854,HIS-HIS
6ro8,0.0072402954,0.0008441833082599715,0.0063961121018962785,CYS-HOH
1vxb,0.104031086,0.03497270380831008,0.0690583821597075,HIS-HOH
1j77,0.109951496,0.08503418368140636,0.024917312442861217,HIS-HOH
2yqb,0.010355949,0.010356595988096018,6.465862405491407e-07,HIS-MET
4jm6,0.055414677,0.04881875759237264,0.006595919073887124,HIS-HOH
1gjm,0.023342133,0.005626398915943298,0.017715733652416077,CYS-HOH
3fmu,0.36933947,0.27328210900137595,0.09605735709359475,HIS-HOH
1ccl,0.03578949,0.05488065713417711,0.019091167388083363,HIS-HOH
4dc7,0.030200958,0.02611475393864815,0.004086204313304975,HIS-HOH
4oek,0.47761536,0.37195851588863604,0.10565684055667646,HIS-HOH
5zze,0.033638954,0.03440489146926495,0.000765937306667297,HIS-HOH
1u75,0.18937111,0.13273963583537096,0.0566314731734181,HIS-MET
1cpt,0.054660797,0.05095806734463082,0.0037027297745098053,CYS-HOH
6u3k,0.13066196,0.1045292127440014,0.026132751672502508,CYS-HOH
4jmt,0.037792206,0.03283895794497482,0.004953247865572052,HIS-HOH
6ff5,0.010937691,0.010937415729955546,2.750049077349104e-07,HIS-MET
1co9,0.05596924,0.05078419613176166,0.005185042149488339,HIS-HOH
6fyj,0.116794586,0.09014192007637689,0.026652666105263734,CYS-HOH
1dve,0.08784485,0.05895180620872509,0.028893042424087412,HIS-HOH
3qns,0.0494442,0.04636631532730462,0.0030778832810938184,HIS-HOH
4dy9,0.024272919,0.03895263167575891,0.014679712974587034,HIS-MET
1cck,0.11677551,0.09199104069310238,0.024784472002210123,HIS-HOH
1lhs,0.020842552,0.020842699083887695,1.4689882910090546e-07,HIS-HOH
4z5q,0.040685654,0.04143888272659524,0.0007532290400718011,CYS-HOH
1c52,0.015937805,0.04548201451098066,0.02954420933519941,HIS-MET
3voo,0.009386063,0.04850800213648743,0.039121939514417114,CYS-HOH
1raq,0.05790329,0.042352523891125315,0.01555076590379656,HIS-MET
1kxm,0.08522797,0.06712175689261812,0.018106209415975627,HIS-HOH
2zwj,0.055838466,0.008278985136248584,0.04755948055436421,HIS-HOH
5d6m,0.11578941,0.06992743900906362,0.04586197444308482,HIS-HOH
4eid,0.010144472,0.010144612058362146,1.399361697629331e-07,HIS-MET
5ocb,0.013562679,0.012501787923387297,0.0010608913673841869,HIS-MET
4nvn,0.054651737,0.050653706574179225,0.003998030638955541,HIS-HOH
2xc3,0.11155701,0.08312162913438215,0.028435377701555353,CYS-HOH
5gxg,0.03561783,0.03603402931808475,0.0004162009489441232,CYS-HOH
5n1t,0.046774864,0.0274544556523022,0.019320408544475143,HIS-MET
1dti,0.0718689,0.06486689403138257,0.0070020024529924285,HIS-HOH
3g5f,0.20322609,0.14861591903557425,0.05461017044196481,CYS-HOH
6cuk,0.0015716553,0.007872973018990592,0.006301317745553092,HIS-HOH
4a71,0.21772671,0.1598974925056691,0.057829214952827,HIS-HOH
4iq9,0.13479042,0.10821330270879415,0.026577117823432417,CYS-HOH
3rgk,0.067500114,0.05278652382394178,0.014713590616976191,HIS-HOH
1ck6,0.1391716,0.11019043960203234,0.028981160739764533,HIS-HOH
3x32,0.0005273819,0.005066962942661846,0.004539581045689189,HIS-HIS
5zm9,0.023256302,0.010798097820543973,0.01245820405933884,HIS-HIS
2xkg,0.0092487335,0.0066219187279124014,0.002626814792595411,HIS-OXY
4nvl,0.08943939,0.07048691589258738,0.018952476197256374,HIS-HOH
5f2a,0.02025032,0.02029144755643486,4.1127121864548144e-05,HIS-HIS
1ctz,0.08755875,0.06243159249499186,0.025127153842898764,HIS-MET
2vly,0.015735626,0.015737264345542457,1.6381248393315673e-06,HIS-OXY
1uvy,0.05640793,0.050613505367067546,0.005794423099729329,HIS-HOH
4nvj,0.06720257,0.05381897816234815,0.013383589891851067,HIS-HOH
3e5l,0.12067413,0.08522338399837537,0.03545074930240588,CYS-HOH
4nva,0.09244156,0.07424218180473474,0.018199377033155884,HIS-HOH
4msf,0.03278923,0.032788426685144145,8.036615355422327e-07,HIS-HOH
5obo,0.007966995,0.01641599595744836,0.008449000718190547,HIS-MET
4a6z,0.23038864,0.16930457317432968,0.0610840681830922,HIS-HOH
5ysm,0.045204163,0.043072804542624965,0.002131358055031285,CYS-HOH
2zwt,0.28004646,0.21328346662680886,0.06676299638588645,CYS-HOH
1lqx,0.022638798,0.027582217945273158,0.004943420185263392,HIS-HIS
1ctj,0.0037231445,0.0010904446894368647,0.0026326998418131353,HIS-MET
5a1p,0.24682999,0.17969580291615728,0.06713418365610835,CYS-HOH
3cp5,0.045808792,0.03786352356109646,0.007945268553161355,HIS-MET
4pqb,0.03675556,0.016480273591303884,0.020275288237309397,HIS-HIS
4fwz,0.17746735,0.15770000514096694,0.019767341050439313,HIS-HOH
4xv6,0.030849457,0.027434442493870392,0.0034150142932389826,HIS-HOH
2cep,0.25426292,0.2000306628100148,0.054232261384321134,HIS-HOH
6ekw,0.03312397,0.03680787259915341,0.0036839025674151316,CYS-HOH
4bll,0.27869368,0.20413892769303654,0.0745547483018365,HIS-HOH
1aom,0.004699707,0.009905421273444404,0.005205714242194404,HIS-HIS
4nvb,0.07131195,0.05780004938612393,0.01351190129746982,HIS-HOH
6qq0,0.006169319,0.04051376160381537,0.03434444245098334,HIS-MET
3cu4,0.0061392784,0.008803960222548035,0.0026646818106828007,HIS-MET
3eh5,0.13305187,0.07595381781045196,0.057098054442966006,HIS-HIS
6m8f,0.084163666,0.06775487815574976,0.01640878761573461,HIS-HOH
5eyj,0.016550064,0.022373208336770034,0.0058231442498559716,HIS-HIS
5cje,0.048526764,0.03812519346145393,0.010401570454561693,CYS-HOH
3qjv,0.04305935,0.03894851383656839,0.004110835223490206,HIS-HIS
3eh4,0.07677674,0.07677684598081269,1.0304563202723216e-07,HIS-HIS
2rbv,0.06591511,0.056720944706678544,0.009194163020372237,HIS-HOH
3iqb,0.049037933,0.01945811814227838,0.029579815207330995,HIS-OXY
2v1j,0.0327034,0.020087007664987055,0.01261639199321607,HIS-HOH
5hav,0.17330885,0.10089686612611848,0.07241198320859832,HIS-OXY
2x08,0.110705376,0.07843861274491015,0.032266762926476567,HIS-HOH
3ovu,0.0033092499,0.003308834936749605,4.1494118008245096e-07,HIS-HIS
3zcg,0.10432005,0.08457240827274504,0.019747641013143635,HIS-HOH
3fkg,0.3628502,0.2631073093250187,0.09974287988396568,HIS-HOH
3c2c,0.025987625,0.0259853229630167,2.3021590536131953e-06,HIS-MET
3x33,0.00027561188,0.00027292178467774875,2.6900927636575034e-06,HIS-HIS
1cxy,0.045573235,0.030285763987301095,0.015287470570804373,HIS-HIS
2q8q,0.060256958,0.032387132369503746,0.027869825638308754,HIS-MET
2rbw,0.09099054,0.07342207882695728,0.017568464538521233,HIS-HOH
1beq,0.028520584,0.00755935199675406,0.020961232109691252,HIS-HOH
2v1h,0.051872253,0.03666594917624266,0.015206304241726087,HIS-HOH
1bek,0.19566917,0.15773853382078684,0.037930640373549096,HIS-HOH
2as3,0.1136508,0.08883187560687222,0.024818923190735198,HIS-HOH
1lr6,0.01513958,0.015139971609469782,3.918365205635155e-07,HIS-HIS
1dp6,0.05567932,0.055679060609872266,2.6067919023375907e-07,HIS-OXY
1obm,0.035051346,0.035051734778264176,3.8895306886388425e-07,HIS-HOH
4qau,0.10218847,0.08369453367026658,0.018493934309164572,HIS-HOH
4g7q,0.14772797,0.0862300252016972,0.06149794110689655,HIS-HIS
1ch5,0.029590607,0.029805150308703787,0.00021454361925066223,HIS-HOH
1yzr,0.15475464,0.14183842614059472,0.01291621253128028,HIS-HOH
1aem,0.0019111633,0.0019090362791018833,2.1270509762416623e-06,HIS-HOH
4njb,0.25082588,0.17677270738533402,0.0740531745726738,HIS-HOH
1cmu,0.033218384,0.02641747428434371,0.006800909504718788,HIS-HOH
5yce,0.062318802,0.05033941339996062,0.011979388479922193,HIS-HOH
3m2c,0.0331192,0.03953681775152518,0.006417616091368927,HIS-HOH
5ylw,0.23755741,0.1798088091729566,0.05774860202089105,CYS-HOH
2rbz,0.06125641,0.05333689493135374,0.00791951376005251,HIS-HOH
4pnj,0.047124863,0.03532540255841354,0.011799460112484894,HIS-HOH
1cc5,0.0018823147,0.0003829439989502248,0.0014993706830566111,HIS-MET
4ktk,0.086746216,0.061808205077451106,0.024938010742861394,CYS-HOH
4pq6,0.0280509,0.026237694799776445,0.001813204705838789,HIS-HOH
4ksz,0.015636444,0.02286660664960749,0.0072301625578106155,HIS-HOH
4g05,0.26584673,0.19657355403969223,0.06927317523887222,HIS-HOH
5b85,0.04587555,0.042091844955407964,0.0037837043609982857,HIS-HOH
3e2n,0.103279114,0.08557116362688788,0.01770795014264337,HIS-HOH
2all,0.050323486,0.04526348969505278,0.005059996633072217,HIS-HOH
1csx,0.043273926,0.04327567038863833,1.7446073883320423e-06,HIS-MET
1cot,0.0016479492,0.0016517404729512464,3.7912542012463746e-06,HIS-MET
2nrl,0.06931496,0.06002130928717797,0.009293647377861092,HIS-HOH
5abo,0.3085804,0.23778891093991916,0.07079148761965115,HIS-HOH
1r9o,0.06822395,0.045813241967039176,0.022410711280031137,CYS-HOH
4a7m,0.1390047,0.10513645351187684,0.033868253824548944,HIS-HOH
1aet,0.0031356812,0.02627075850072913,0.02313507734838538,HIS-HOH
1x3k,0.04826206,0.03477897694414478,0.013483082744423336,HIS-HOH
4jm8,0.10957003,0.09330059322366502,0.01626943317404006,HIS-HOH
5jqr,0.012424469,0.0124255717123809,1.1027182402756353e-06,HIS-HOH
1a2f,0.13963318,0.11455469598449497,0.02507848272644253,HIS-HOH
3m28,0.053451538,0.03692133476974391,0.016530203316193592,HIS-HOH
2oh8,0.021621704,0.021090506306048695,0.0005311977955138047,HIS-HOH
1aeo,0.04283142,0.05649905290049162,0.01366763200205412,HIS-HOH
2nrm,0.062960625,0.05203473284216997,0.010925891852654246,HIS-HOH
6jt6,0.014936924,0.014936029093222558,8.948874903325077e-07,HIS-MET
4fdq,0.23489952,0.17177508242407669,0.06312443844994675,HIS-HOH
3m5q,0.2537079,0.19149510377002343,0.062212781972164066,HIS-HOH
3ziy,0.0024995804,0.00249851944309043,1.0609402103511911e-06,HIS-MET
1aek,0.0019111633,0.05003728363378457,0.04812612030370644,HIS-HOH
1cik,0.022846222,0.027299497602790268,0.004453275678962143,HIS-HOH
4tpn,0.17268372,0.13697073847151842,0.035712977348794084,CYS-HOH
1gdv,0.008979797,0.0044102751445791455,0.0045695222187021045,HIS-MET
5nws,0.0585289,0.038242620107752145,0.02028628003873223,CYS-HOH
5nvi,0.018585205,0.018583564913317474,1.6401648075259345e-06,HIS-HIS
1aen,0.04283142,0.13682196779899414,0.09399054690055664,HIS-HOH
2x5l,0.21818924,0.15936613014604006,0.05882310935591306,CYS-HOH
5m3s,0.080617905,0.06300955506375061,0.017608349599335327,HIS-HOH
6qq2,0.06225586,0.029581286334863677,0.03267457304013632,HIS-MET
3i6n,0.22735214,0.1562611183562268,0.07109102397775757,HIS-HOH
1mti,0.06273651,0.05432168485931399,0.00841482637115476,HIS-HOH
3m26,0.053352356,0.024295566412320113,0.029056789544711137,HIS-HOH
6pqd,0.15038586,0.11114349079255703,0.03924236583586094,CYS-HOH
1co6,0.062462807,0.04928789691834101,0.013174909783319144,HIS-MET
3qjs,0.0731436,0.031186097018044645,0.04195750439949686,HIS-HIS
2pt3,0.15917397,0.10091143266661007,0.058262532787491494,HIS-HOH
1co8,0.045604706,0.04267968335158656,0.0029250224589603135,HIS-HOH
2rbx,0.058166504,0.047814093163310645,0.010352410742939355,HIS-HOH
4g71,0.14655495,0.051961547836867794,0.09459339906254627,HIS-HIS
1ofk,0.04202652,0.046043612631962105,0.00401709285657148,HIS-HOH
1ldc,0.008739471,0.0038302809246069103,0.004909190510939965,HIS-HIS
4fwy,0.17896676,0.12662670868589476,0.052340051949481214,HIS-HOH
1hzu,0.084098816,0.06048803167657013,0.02361078424139862,HIS-MET
1yiq,0.010522842,0.010522854905779866,1.2498553303430526e-08,HIS-MET
2ccp,0.032728195,0.028733535005642352,0.003994660184787335,HIS-HOH
3l62,0.084215164,0.06946196869265364,0.01475319549191667,CYS-HOH
2y6a,0.21374321,0.15820536208729763,0.05553784775156956,HIS-HOH
3wc8,0.005027771,0.005745692466440744,0.0007179214703469938,HIS-HOH
5ccp,0.21765709,0.16695023459352143,0.05070685463987701,HIS-HOH
6lco,0.20262527,0.1521669402705541,0.05045833438764902,HIS-HOH
4bm4,0.2891941,0.20660602734913347,0.08258807970653059,HIS-HOH
4f6d,0.051107407,0.05867609350367786,0.007568686887466924,HIS-OXY
2xif,0.13372421,0.10645644788895936,0.027267764757525015,HIS-HOH
2amm,0.078074455,0.06400514556150227,0.014069309699728194,HIS-HOH
2wgy,0.12643433,0.09644791377488815,0.02998641239698685,CYS-HOH
4h07,0.066999435,0.05540016274261994,0.011599272682184747,HIS-HOH
1m2i,0.0062828064,0.0015961933082291324,0.004686613088255243,HIS-HIS
1vgi,0.029144287,0.028307906752175427,0.0008363803571995732,HIS-HOH
6krc,0.16443253,0.11155420839857388,0.05287831723619174,HIS-HOH
4of9,0.04810047,0.04140262258004057,0.00669784891654146,HIS-HOH
3ccp,0.1907711,0.14428301593560988,0.046488086969663556,HIS-HOH
4blk,0.18983078,0.1472916309221901,0.042539149107106766,HIS-HOH
1ofj,0.038820267,0.04361983349560816,0.00479956677197535,HIS-HOH
3qf1,0.04978943,0.03540496255968506,0.01438446615125244,HIS-HOH
1yea,0.074258804,0.04359926093685118,0.030659543384437882,HIS-MET
3p6x,0.07274389,0.05878562377836083,0.013958268891316905,CYS-HOH
3rwl,0.21381712,0.15304164632310524,0.06077547327528343,CYS-HOH
1krj,0.07965851,0.06918423191518741,0.01047427638559384,HIS-HOH
4blx,0.25203896,0.19283303586118095,0.05920591982729562,HIS-HOH
4nvi,0.11879015,0.09583339590608642,0.022956753782634287,HIS-HOH
6vdq,0.015895605,0.021940839339970708,0.006045234252690435,HIS-HIS
1cih,0.032751083,0.024491262762563082,0.008259820611460356,HIS-MET
6gd7,0.035812378,0.031967449055077424,0.0038449288746100763,HIS-MET
3m2e,0.030143738,0.028608233859586107,0.0015355039333826426,HIS-HOH
4u9e,0.029151917,0.027058995389577234,0.002092921114329016,HIS-MET
5o17,0.020225525,0.020220397722791716,5.127179552033567e-06,HIS-HIS
3nv6,0.14288783,0.1034141324000526,0.039473698334200336,CYS-HOH
1m2m,0.0020866394,0.0003462087649817036,0.0017404306393151714,HIS-HIS
4o4t,0.14508438,0.09399627210360251,0.05108810899991312,HIS-HIS
1ue8,0.004798889,0.010278782827953137,0.005479893667796887,CYS-HOH
1c75,0.009888649,0.009890047729281815,1.3987424654082758e-06,HIS-MET
2jjn,0.15751767,0.12115201844058854,0.03636565314449447,CYS-HOH
4nve,0.10142517,0.06977248065771846,0.03165269024071904,HIS-HOH
1io3,0.007900238,0.0035718747111275206,0.004328363325981854,HIS-MET
1vxd,0.15521145,0.12564178105892898,0.029569667610504613,HIS-HOH
4jn0,0.046203613,0.041235841355245384,0.004967771926004616,HIS-HOH
4g46,0.18966103,0.14045255721209315,0.04920846878888341,CYS-HOH
1ccb,0.11759186,0.08988543132196014,0.02770642658819611,HIS-HOH
5w0c,0.10055542,0.07717512313138286,0.02338029679049214,CYS-HOH
6m7e,0.13346863,0.097416612852534,0.0360520150771535,HIS-HOH
1ymb,0.03437066,0.03437048119570374,1.7958615661228805e-07,HIS-HOH
3vtj,0.48407793,0.37621169699745405,0.1078662334529854,CYS-HOH
6m4q,0.09056091,0.07523130981900295,0.015329603266934555,CYS-HOH
3wxo,0.028551102,0.02907901374816646,0.0005279120635961476,HIS-HOH
3iw0,0.19811344,0.14848298497343748,0.049630456493847674,CYS-HOH
1mn2,0.032203674,0.032201748065162406,1.92625124384449e-06,HIS-HOH
4ips,0.20733452,0.15762671988381882,0.049707798548798365,CYS-HOH
2ycg,0.052127838,0.04348699050268223,0.008640847632083393,HIS-HOH
1zbz,0.036281586,0.03480468445670226,0.0014769012366571133,HIS-HOH
1myt,0.09439087,0.07812460839910784,0.016266260741517158,HIS-HOH
1mlh,0.03323555,0.039474180101247924,0.006238630174490112,HIS-HOH
5ik1,0.086574554,0.07018020543550918,0.016394349007850195,CYS-HOH
3dmi,0.024349213,0.024348184428113484,1.0282183708909542e-06,HIS-MET
5al9,0.16100311,0.12548155187002408,0.03552156092294467,HIS-HOH
2w6x,0.08668327,0.06275202671904978,0.023931246596379907,HIS-HOH
3awp,0.0446167,0.035758583720927106,0.008858115497822894,CYS-HOH
4tyx,0.035924435,0.02052581679701193,0.015398617864853303,HIS-HOH
6geq,0.14724159,0.11616811452782017,0.031073477879406397,CYS-HOH
6wzc,0.0011787415,0.0011819816133211702,3.2401582430452436e-06,HIS-MET
4h0b,0.053473473,0.01460713891467691,0.038866333680537934,HIS-OXY
5hlq,0.099996805,0.08668638286023178,0.013310422330808258,HIS-HOH
5mxz,0.02018261,0.05422880604128366,0.03404619648317819,HIS-MET
4qjq,0.0054483414,0.0028367325040949964,0.00261160886553391,HIS-HOH
1cpg,0.019256592,0.03276450956292365,0.01350791776604865,HIS-HOH
4jqk,0.0885129,0.07237504961947394,0.016137847871981137,HIS-HOH
3x35,0.0018138885,0.0018125346641006956,1.353885703991864e-06,HIS-HIS
1csu,0.004896164,0.004895650634118454,5.133063112339187e-07,HIS-MET
1ch2,0.104249954,0.08390898412366354,0.02034097009996927,HIS-HOH
